No,City,State,Type,Population,Population class
1,Mumbai,Maharashtra,Municipal Corporation / Corporation,pop,Class I
2,Delhi,Delhi,Municipal Corporation / Corporation,pop,Class I
3,Bengaluru,Karnataka,Municipal Corporation / Corporation,pop,Class I
4,Ahmedabad,Gujarat,Municipal Corporation / Corporation.,pop,Class I
5,Hyderabad,Telangana,Municipal Corporation / Corporation,pop,Class I
6,Chennai,Tamil Nadu,Municipal Corporation / Corporation.,pop,Class I
7,Kolkata,West Bengal,Municipal Corporation / Corporation,pop,Class I
8,Pune,Maharashtra,Urban Agglomeration,pop,
9,Jaipur,Rajasthan,Municipal Corporation / Corporation,pop,Class I
10,Surat,Gujarat,Municipal Corporation / Corporation.,pop,
11,Lucknow,Uttar Pradesh,Municipal Corporation / Corporation,pop,Class I
12,Kanpur,Uttar Pradesh,Municipal Corporation / Corporation,pop,Class I
13,Nagpur,Maharashtra,Municipal Corporation / Corporation,pop,Class I
14,Patna,Bihar,Municipal Corporation / Corporation.,pop,
15,Indore,Madhya Pradesh,Municipal Corporation / Corporation.,pop,Class I
16,Thane,Maharashtra,Municipal Corporation / Corporation.,pop,Class I
17,Bhopal,Madhya Pradesh,Municipal Corporation / Corporation.,pop,Class I
18,Visakhapatnam,Andhra Pradesh,Municipal Committee.,pop,Class I
19,Vadodara,Gujarat,Municipal Committee.,pop,Class I
20,Firozabad,Uttar Pradesh,Census town.,pop,Class I
21,Ludhiana,Punjab,Municipal Corporation / Corporation.,pop,Class I
22,Rajkot,Gujarat,Urban Agglomeration,pop,
23,Agra,Uttar Pradesh,Municipal Corporation / Corporation.,pop,Class I
24,Siliguri,West Bengal,Municipal Corporation / Corporation.,pop,
25,Nashik,Maharashtra,Municipal Corporation / Corporation,pop,Class I
26,Faridabad,Haryana,Municipal Corporation / Corporation.,pop,Class I
27,Patiala,Punjab,Municipal Corporation / Corporation.,pop,
28,Meerut,Uttar Pradesh,Municipal Corporation / Corporation,pop,Class I
29,Kalyan-Dombivali,Maharashtra,Municipal Corporation / Corporation.,pop,Class I
30,Vasai-Virar,Maharashtra,Municipal Corporation / Corporation.,pop,Class I
31,Varanasi,Uttar Pradesh,Municipal Corporation / Corporation.,pop,Class I
32,Srinagar,Jammu and Kashmir,Urban Agglomeration,pop,
33,Dhanbad,Jharkhand,Municipal Corporation / Corporation,pop,Class I
34,Jodhpur,Rajasthan,Municipal Corporation / Corporation,pop,Class I
35,Amritsar,Punjab,Municipal Corporation / Corporation.,pop,Class I
36,Raipur,Chhattisgarh,Municipal Committee,pop,
37,Allahabad,Uttar Pradesh,Municipality.,pop,Class I
38,Coimbatore,Tamil Nadu,Municipal Corporation / Corporation,pop,Class I
39,Jabalpur,Madhya Pradesh,Municipal Corporation / Corporation,pop,Class I
40,Gwalior,Madhya Pradesh,Municipal Corporation / Corporation,pop,Class I
41,Vijayawada,Andhra Pradesh,Municipal Corporation / Corporation.,pop,Class I
42,Madurai,Tamil Nadu,Municipal Corporation / Corporation,pop,Class I
43,Guwahati,Assam,Municipal Corporation / Corporation,pop,Class I
44,Chandigarh,Chandigarh,Municipal Corporation / Corporation.,pop,Class I
45,Hubli-Dharwad,Karnataka,Municipal Corporation / Corporation,pop,Class I
46,Amroha,Uttar Pradesh,Nagar Panchayat.,pop,Class I
47,Moradabad,Uttar Pradesh,Municipal Corporation / Corporation,pop,Class I
48,Gurgaon,Haryana,Municipal Corporation / Corporation.,pop,Class I
49,Aligarh,Uttar Pradesh,Municipalityunicipal Corporation / Corporation.,pop,Class I
50,Solapur,Maharashtra,Municipal Corporation / Corporation.,pop,
51,Ranchi,Jharkhand,Urban Agglomeration,pop,
52,Jalandhar,Punjab,Municipal Corporation / Corporation,pop,Class I
53,Tiruchirappalli,Tamil Nadu,Municipal Corporation / Corporation.,pop,Class I
54,Bhubaneswar,Odisha,Municipal Corporation / Corporation,pop,Class I
55,Salem,Tamil Nadu,Municipal Corporation / Corporation,pop,Class I
56,Warangal,Telangana,Municipal Corporation / Corporation.,pop,Class I
57,Mira-Bhayandar,Maharashtra,Municipal Corporation / Corporation,pop,Class I
58,Thiruvananthapuram,Kerala,Municipal Corporation / Corporation.,pop,Class I
59,Bhiwandi,Maharashtra,Municipal Corporation / Corporation.,pop,Class I
60,Saharanpur,Uttar Pradesh,Municipal Corporation / Corporation,pop,Class I
61,Guntur,Andhra Pradesh,Municipal Corporation / Corporation,pop,Class I
62,Amravati,Maharashtra,Municipal Corporation / Corporation,pop,Class I
63,Bikaner,Rajasthan,Municipal Corporation / Corporation.,pop,Class I
64,Noida,Uttar Pradesh,Census town,pop,Class I
65,Jamshedpur,Jharkhand,Notified area committee / Notified Area Council ,pop,Class I
66,Bhilai Nagar,Chhattisgarh,Municipal Corporation / Corporation,pop,Class I
67,Cuttack,Odisha,Municipal Corporation / Corporation,pop,Class I
68,Kochi,Kerala,Municipal Corporation / Corporation,pop,Class I
69,Udaipur,Rajasthan,Municipal Corporation / Corporation,pop,Class I
70,Bhavnagar,Gujarat,Municipal Corporation / Corporation,pop,Class I
71,Dehradun,Uttarakhand,Municipal Corporation / Corporation,pop,Class I
72,Asansol,West Bengal,Municipal Corporation / Corporation.,pop,Class I
73,Nanded-Waghala,Maharashtra,Municipal Corporation / Corporation.,pop,Class I
74,Ajmer,Rajasthan,Municipal Corporation / Corporation.,pop,Class I
75,Jamnagar,Gujarat,Municipal Corporation / Corporation,pop,Class I
76,Ujjain,Madhya Pradesh,Municipal Corporation / Corporation.,pop,Class I
77,Sangli,Maharashtra,Urban Agglomeration,pop,
78,Loni,Uttar Pradesh,Nagar Panchayat,pop,Class I
79,Jhansi,Uttar Pradesh,Municipal Corporation / Corporation.,pop,Class I
80,Pondicherry,Puducherry,Urban Agglomeration,pop,
81,Nellore,Andhra Pradesh,Municipal Corporation / Corporation,pop,Class I
82,Jammu,Jammu and Kashmir,Municipal Committee,pop,Class I
83,Belagavi,Karnataka,Municipal Corporation / Corporation.,pop,Class I
84,Raurkela,Odisha,Municipal Corporation / Corporation,pop,
85,Mangaluru,Karnataka,Municipal Corporation / Corporation,pop,Class I
86,Tirunelveli,Tamil Nadu,Municipal Corporation / Corporation.,pop,Class I
87,Malegaon,Maharashtra,Municipal Corporation / Corporation,pop,Class I
88,Gaya,Bihar,Municipal Corporation / Corporation.,pop,Class I
89,Tiruppur,Tamil Nadu,Municipal Corporation / Corporation,pop,Class I
90,Davanagere,Karnataka,Municipal Corporation / Corporation.,pop,Class I
91,Kozhikode,Kerala,Municipal Corporation / Corporation,pop,Class I
92,Akola,Maharashtra,Municipal Corporation / Corporation.,pop,Class I
93,Kurnool,Andhra Pradesh,Municipal Corporation / Corporation,pop,Class I
94,Bokaro Steel City,Jharkhand,Census town,pop,Class I
95,Rajahmundry,Andhra Pradesh,Urban Agglomeration,pop,
96,Ballari,Karnataka,Municipal Corporation / Corporation.,pop,Class I
97,Agartala,Tripura,Municipal Corporation / Corporation.,pop,Class I
98,Bhagalpur,Bihar,Municipal Corporation / Corporation.,pop,Class I
99,Latur,Maharashtra,Municipal Council,pop,Class I
100,Dhule,Maharashtra,Municipal Corporation / Corporation,pop,Class I
101,Korba,Chhattisgarh,Municipal Corporation / Corporation.,pop,Class I
102,Bhilwara,Rajasthan,Municipality,pop,Class I
103,Brahmapur,Odisha,Municipal Corporation / Corporation,pop,Class I
104,Mysore,Karnatka,Municipal Corporation / Corporation.,pop,Class I
105,Muzaffarpur,Bihar,Municipal Corporation / Corporation.,pop,Class I
106,Ahmednagar,Maharashtra,Municipal Corporation / Corporation.,pop,Class I
107,Kollam,Kerala,Municipal Corporation / Corporation,pop,Class I
108,Raghunathganj,West Bengal,Municipality,pop,
109,Bilaspur,Chhattisgarh,Municipal Corporation / Corporation,pop,Class I
110,Shahjahanpur,Uttar Pradesh,Urban Agglomeration,pop,
111,Thrissur,Kerala,Municipal Corporation / Corporation.,pop,Class I
112,Alwar,Rajasthan,Municipal Council,pop,Class I
113,Kakinada,Andhra Pradesh,Municipal Corporation / Corporation,pop,Class I
114,Nizamabad,Telangana,Municipal Corporation / Corporation,pop,Class I
115,Sagar,Madhya Pradesh,Urban Agglomeration,pop,
116,Tumkur,Karnataka,City Municipal Council,pop,Class I
117,Hisar,Haryana,Municipal Council,pop,Class I
118,Rohtak,Haryana,Municipal Corporation / Corporation.,pop,
119,Panipat,Haryana,Municipal Council,pop,Class I
120,Darbhanga,Bihar,Municipal Corporation / Corporation.,pop,Class I
121,Kharagpur,West Bengal,Municipality/Industrial Township,pop,Class I
122,Aizawl,Mizoram,Notified Town,pop,Class I
123,Ichalkaranji,Maharashtra,Municipal Council,pop,Class I
124,Tirupati,Andhra Pradesh,Municipal Corporation / Corporation.,pop,Class I
125,Karnal,Haryana,Municipal Council,pop,Class I
126,Bathinda,Punjab,Municipal Corporation / Corporation,pop,Class I
127,Rampur,Uttar Pradesh,Municipal board,pop,
128,Shivamogga,Karnataka,City Municipal Council,pop,
